cited_by_count,avg_favourites_count,avg_statuses_count,avg_followers_count,author_id
28511,13322,1532,1214,407
33,13322,1532,1214,408
91,793,812,506,409
1157,1295,408,564,410
30,1367,686,268,411
27,549,842,203,412
723,131,265,296,413
2078,547,1304,1513,414
79,248,3812,988,415
14749,760,207,351,416
34,4171,15257,284,417
521,8388,2459,3194,418
716,404,312,85,419
18,2900,673,293,420
3053,2798,951,291,421
362,2798,951,291,422
90,699,311,279,423
528,760,74,465,424
9,760,74,465,425
5,1378,438,476,426
232,695,839,234,427
326,6440,725,485,428
18148,1341,1611,810,429
797,1660,449,151,430
297,7714,3724,309,431
137,4317,882,923,432
9,1724,6679,1059,433
39,3999,1149,306,434
68,19844,218,105,435
529,3492,3208,1324,436
944,257,253,434,437
73,1211,820,330,438
236,2604,663,366,439
489,1928,1093,1394,440
6772,667,777,660,441
27,533,800,244,442
68,5010,1630,900,443
612,2104,1013,525,444
220,3865,1284,1993,445
2,2496,1682,1007,446
23,354,182,197,447
427,3448,707,481,448
114,791,458,425,449
118,1262,205,223,450
204,2773,3335,684,451
102,1653,554,253,452
394,2672,544,583,453
2419,628,282,77,454
203,1991,1067,539,455
109,404,302,190,456
702,30,985,59,457
374,1249,858,844,458
19,892,207,97,459
369,663,231,661,460
337,1562,401,158,461
1,287,433,34,462
14,447,936,370,463
176,249,124,404,464
158,540,343,194,465
28,3312,5778,435,466
2,3312,5778,435,467
2170,1509,768,1728,468
2,440,439,296,469
2,480,763,169,470
25,973,1355,229,471
93,9828,694,556,472
35,9828,694,556,473
33,7840,4299,257,474
6,7840,4299,257,475
13,3819,824,510.4999999999999,476
4,3819,824,510.4999999999999,477
336,274,4908,306,478
5,1606,1471,238,479
3,3288,7707,634,480
2118,199,721,472,481
2,1095,1650,351,482
695,1792,1895,470,483
107,1112,1994,285,484
43,5834,1444,226,485
44088,734,1025,3803,486
52,2077,2262,109,487
70,112,213,349,488
687,1935,994,864,489
10936,2553,383,1654,490
8,341,897,19057,491
225,2392,3032,6524,492
8,742,211,54,493
33,6923,907,849,494
344,2461,1160,570,495
327,1351,1244,317,496
12,225,78,105,497
484,225,1284,603,498
86,986,201,404,499
772,84,751,88,500
189,6650,439,135,501
740,304,758,277,502
4050,1824,2406,256,503
144,799,77,294,504
33,209,236,123,505
457,1629,1176,263,506
167,652,2367,605,507
12525,798,1634,301,508
492,2063,1060,651,509
37,2264,654,181,510
4413,1014,1046,1028,511
176,1014,1046,1028,512
106,5329,2836,2671,513
18,598,346,71,514
3416,6688,3277,788,515
999,218,223,275,516
59,622,534,441,517
79,138,450,102,518
135,9411,2386,1573,519
51,3938,1801,819,520
771,6020.500000000005,1946,2100.999999999999,521
7,6020.500000000005,1946,2100.999999999999,522
153,301,160,104,523
18,1951,596,173,524
54,3344,909,351,525
104,9853,3022,343,526
78,9853,3022,343,527
173,1478,1095,586,528
21,6580,1167,880,529
31,2023,399,242,530
32,32,275,84,531
356,1467,1466,272,532
225,410,258,278,533
6372,3196,1323,3462,534
86,1973.500000000001,469,825.5,535
2,1973.500000000001,469,825.5,536
330,36,85,272,537
1374,1603,1958,2558.0000000000027,538
658,1603,1958,2558.0000000000027,539
12,3517,12563,83,540
895,699,259,358,541
16,7285,971,474,542
5107,4085,1888,2914,543
185,329,944,303,544
8986,7832,2281,724,545
251,1834,670,155,546
446,278,367,131,547
34,2671,803,542,548
348,87,1211,371,549
1702,526,128,63,550
43,1215,1243,281,551
102,1454,599,64,552
5,1454,599,64,553
1929,1993.5,469,593,554
9,1993.5,469,593,555
66,970,200,52,556
60,970,200,52,557
495,3671,894,79,558
600,2215,828,781,559
1219,219,306,95,560
776,27,46,39,561
18,27,46,39,562
63,51,1965,707,563
255,277,369,165,564
310,995,793,184,565
592,2446,2321,1018,566
524,386,376,96,567
329,74,147,89,568
147,965,80,230,569
